component,layer16,layer24,layer8
Average,0.9963171475486746,0.9956251466103683,0.9991907107670656
obj1,0.998698099929627,0.9987684729064039,0.9996833216045039
obj2,0.9905348346235046,0.9883884588318086,0.9978888106966924
relation,0.9997185080928923,0.9997185080928923,1.0
