relation1,relation2,cosine_similarity,euclidean_distance,angle_degrees
above,below,0.087672755,9.598861,84.97026354291106
over,under,0.092077285,9.156649,84.71687691391314
on top of,beneath,-0.010782123,9.506596,90.61778209021159
higher than,lower than,-0.13427378,9.009031,97.71662834971524
elevated above,beneath,-0.05685579,9.041191,93.25935445821949
in front of,behind,-0.0029203526,9.177189,90.16732411771024
ahead of,behind,0.042025913,8.633051,87.59138321801017
before,behind,-0.04744569,9.167818,92.71945864527406
inside,outside,0.1824857,8.069892,79.48542162197573
within,outside,-0.022357322,9.034814,91.28108694791513
enclosed in,outside,-0.09336469,8.53421,95.35720528264319
close to,far from,0.12856331,7.579744,82.61342034617581
near,distant from,0.012576124,8.652503,89.27942219423302
next to,far from,-0.03629586,8.78121,92.08005652745834
adjacent to,distant from,0.09732402,8.400125,84.41490359100044
beside,away from,-0.042927645,9.297296,92.460328928199
